sentence1,sentence2,匹配度,是否匹配,真实标签
一年的期限只剩几个月了。,有上升必有下降。,0.0,0,0
他们两人分别之后，维尼茨尤斯来到了书房里，开始给莉吉亚写信。,一级准尉怀特哈尔福特曾经发誓，说等哪天夜里我睡熟了的时候，他要割断我的喉咙。,0.0183,0,0
5健康的男人在砖砌的小路上跑步。,5个人跑到外面。,0.4284,1,1
功名利禄,功名富贵,0.7657,1,1
你躲到哪儿去了？,我是写了，说我结婚了——你看见那封短信的。,0.0,0,0
我怎么敢送您礼物呢，您别那么想！,现在他怀着比较轻松的心情，听任他的两个助手在回家的路上嘻嘻哈哈地逗乐。,0.0,0,0
阿尔培说。您要跟谁决斗？,因为他刚刚喝了几杯，正摆出一副找人打架的神气，她凭经验知道这就要出事了。,0.0217,0,0
这个女人把自头上的女公爵下冠脱下来，扔在个小丑的戏台下面！,阿尔卡季帕夫雷奇客气地向他们点点头。,0.0072,0,0
我站在那里，环顾四周，不觉打了个寒噤，这天的户外活动，天气恶劣，其实并没有下雨，但浙浙沥沥的黄色雾霭，使天色变得灰暗；脚下因为昨天的洪水依然水湿，身体比较健壮的几位姑娘窜来奔去，异常活跃；但所有苍白瘦弱的姑娘都挤在走廊上躲雨和取暖。,我看到特洛伊化为飞灰，变成废墟一片，哦，伊利昂，从那里看到的形象把你雕刻得多么低微和卑贱！,0.0337,0,0
敷衍是什么意思？,敷衍什么意思,0.98,1,1
所以当他把我解救出来后，我很自豪，他看了看，去检查了一下，他只是笑了笑，他说，西西，我很抱歉，但我们要重做一遍。,在我被解救出来后，他检查了一遍，告诉我们必须重做一遍。,0.3426,0,1
一个戴着金头盔的足球运动员正在和足球一起跑。,运动员扔球。,0.3594,0,0
人们站在外面用麦克风看着卡车里的女人。,站在外面的人都死了。,0.2097,0,0
在这种式样的房子里，像这样的小住宅差不多都装这种门铃。,立即和新郎一起与警方联系，目前警方正在大力调查，这件离奇的事件有望很快水落石出。,0.0966,0,0
只有社会状况的两个指示器能表明莫斯科所处的状态，一是平民百姓，即穷人阶层，二是物价。,只有两种社会状况标志着莫斯科当时的情势:老百姓，也就是贫民阶层，和物价。,0.0891,0,1
这个吗？谁知道他是什么人！,正如在这里，那位天国贵妇的光荣座位与在这座位之下的其他座位，形成一条分界线，同样在对面，则有那伟大约翰的座位，他作为始终的圣者，曾遭受荒野之苦与殉道之惨，后来又在地狱受苦两年；在他下边，座位也同样分有界线，方济、本笃和奥古斯丁，以及其他，也环坐在这一圈到那一圈，直到这里的下面。,0.2141,0,0
当包奇科娃和卡尔津金在宣判后也被押到这个房间里时，她正处在这样的精神状态。,你现在已经讲开了，就把它讲完吧。,0.0807,0,0
笑话我听听,说笑话吗,0.0,0,0
但是，除了所有这些古老的遗物而外，它还有许多新奇的特点，说明着它五十多年来所从事的那种艰险的工作。,然而，不仅有这些古董，此外还有一些新颖别致的特点，这牵涉到了半个多世纪以来它所做的那些令人发疯的事儿。,0.5249,1,1
我在地上躺了一会，把脸埋在潮湿的草地上，我有些担心——或者说是希望——我会死在这儿。,但是由于我已被视作我寝舍的开心果，我又意识到虽然我是最小的，却因为我的故事在同学中广为传开而引起很多对我的关注，于是这反而激发我努力用功。,0.1887,0,0
一个穿着条纹泳衣的年轻女孩在海里跳跃。,一个女孩在海滩上建了一座沙堡。,0.0342,0,0
一个女人坐在一个大圆锥形喷泉旁边的墙上。,这位妇女正在她的卧室里在家看书。,0.0155,0,0
充进花呗额度还需要还吗,花呗超额了还能用吗,0.0,0,0
是啊，怎么呢伊利亚彼特罗维奇以高贵的气度漫不经心地说他甚至不是说怎么呢，不知怎的，说成了是啊——咋么呢！,难道他不是好多了么？,0.0171,0,0
这一套话，斯佳丽己经听到许多人说过，如果有人再对她说她会厌烦地尖叫起来。,她怕一听到有人提他的名字，她就会哭起来。,0.2865,0,1
等一等。我晓得。,等一等。我说一点。,0.6228,1,1
上你家老板的那张脸还挺招人喜次嘛。,此时，这张面孔正从镜子里张皇失措、惊恐不安地冲他眨着眼睛。,0.0692,0,0
手环消息,手环消息不提示,0.0,0,0
她又会因此比现在增加什么美德呢？,那些男人当他们需要的时候，玩弄像她这样的女人，而像她这样的女人也总是尽量利用他们为自己获得好处，所以她才向他诱惑地一笑。,0.2072,0,0
啊这就对了唉，你们呀不知怎么地，外婆像陀螺似地转着，一转眼就把所有的人拥抱和亲吻了个遍。,原来是这么着嗨，你们这些人外祖母像陀缥似的乱转，转眼工夫就把所有的人都拥抱过，亲吻过；她推着我走到人们面前，急忙地说着:快点快点！,0.6468,1,1
在这土岗上有一群军人，可以听见司令部人员用法语说话的声音，可以看见戴着红箍白帽的库图佐夫，他的灰白色的后脑勺缩在肩膀里。,我们有个孩子，我们可能还会有孩子们。,0.0167,0,0
陌生人就那么微微皱着眉头，又对他看了一会儿，而后离开窗口，慢慢地从客店里走出来，走到离达德尼昂两步远的地方，面对那匹马站定。,那个贵族又面带淡淡的微笑，把他打量了一会儿，接着离开窗口，慢慢走出客店，来到和达尔大尼央相距两步远的地方，正好在那匹小黄马的前面站定。,0.0386,0,1
她站着的这个门口，正和她丈夫进来的那扇门相对，她的手不知为了什么原因搁在那镀金的门柄上，直到基度山转过身来的时候，才让它无力地垂了下来。,这场病由来已久，潜伏期也很长是不是？,0.0002,0,0
现在她一定长大啦！,啊！十五年！现在她该长大了！,0.9814,1,1
人的命运真的是由天注定么？,人命运真的是天注定的吗,0.987,1,1
一只棕色的狗跑到户外。,棕色的狗在外面。,0.573,1,1
一位黑人女士坐在一张椅子上，一辆装满袋子的推车在她旁边摆着，一面砖墙上挂着涂鸦，后面还有一个链环篱笆。,坐在椅子上的女人是白色的。,0.0296,0,0
咱们当然一块儿吃饭。,问他:某日某时，你跟米特里一起干活的时候，看见楼梯上有什么人没有？,0.0,0,0
我走了一趟，很高兴。,我真高兴我走了这一趟呢。,0.9803,1,1
军事委员保尔，就用着这方法，一面骑马绕着草场狂跃，一面不断叱骂他们，终于把他们驱散了。,保尔这样一面骑在马上绕着草场囚猛奔驰，一面不断地开枪，终于把他们驱散了。,0.4542,1,1
恐怕没有工夫了，聂赫留朵夫冷冷地回答，竭力装作没有发觉她脸红。,聂赫留朵夫忧郁地回答，竭力装作没有发现她脸红的样子。,0.4755,1,1
离婚这件事目前对她来说是个生死攸关的问题。,如果我没有像过去那样和你亲近——近来不像我以前那样——那并不是因为我不爱你。,0.0684,0,0
有没有哪个网站能免费阅读VIP小说,哪个网站可以免费看小说,0.9251,1,1
！弗朗兹重复了一遍。,大多数会员都坚持要他清清楚楚地重复一遍，他照办了。,0.4824,1,1
我们街上的一座房子，众来了位脑门上长着个症搭的老爷，他有个非常怪的癖好:每逢请假期，他总坐在窗用鸟枪的霞弹打狗、猫、鸡和乌鸦，看见他不喜欢的行人，也对着射击。,古语有如地牢这几个字还不足以形容这个地窖，除非你设想地窖跟捕狮子或者老虎的陷阱有同样的规模。,0.0143,0,0
在那一群向家墓拥过去的人堆里，夏多勒诺认出了摩莱尔，他是独自乘着一辆轻便马车来的。,没有人答应。他踮起脚尖用石头不轻不重的敲玻璃窗，轻得敲不碎玻璃，重得使人能够听见。,0.06,0,0
有些男人不能忘记和似乎不想。,有些人不能忘记，有些人似乎想要记住。,0.2334,0,1
他们派人去叫了一辆轻便马车。,恰好此时该轮到朱庇特拿着霹雳上场，可是朱庇特却站在戏台下面呆若木鸡。,0.0,0,0
三人坐在一家中餐馆谈论菜单。,人们在交谈。,0.414,1,1
好吧再给你一次机会,给你一次改正的机会,0.6352,1,1
突然响起了尼古拉彼得罗维奇的声音。,罗季昂罗曼内奇，请让她坐在您旁边。,0.1346,0,0
阳光照耀着整个世界，从屋顶下他可以看到蔚蓝的天空，当他看着的时候，天空中的裂缝变得平滑了。,照在世界上的阳光是不正常的。,0.2891,0,0
此外，在他妻子分娩的时候，出了一件对他来说异乎寻常的事。,对他来说，那十分钟是非常难以度过的。,0.1302,0,0
梦见别人偷自己东西,梦见别人用有火的东西打我,0.0,0,0
抛戈弃甲,冲锋陷阵,0.0,0,0
矮脚姑娘用头巾紧紧裹住了；，摇摇晃晃走过来，对我古吨着说:你进作坊去吧面包师边从街往外彻面，边我讲述他的情人多么使人快慰，比人从来不知疲倦。,啊，连您也上了圈套，彼得格拉西莫维奇迎着聂赫留朵夫扬声大笑说。,0.0,0,0
观众已经成了圆戏场里的主宰。,观众己经成了圆剧场里的主宰。,0.9539,1,1
有什么魔法动画片,有什么有关魔法的动画片吗,0.9818,1,1
他明智地点点头。,是的。你们要车夫从波波洛门出去，绕城墙转一圈，再通过圣乔瓦尼门回来是吗？,0.0087,0,0
我知道，大夫来也救不了我，但他或许可以给我接接力，让我多活一会儿，好告发他。,暗，至少可以在这儿住一个时期嘛。,0.0,0,0
领我走出这座房子，不要让任何人看见我离开。,维尔福问，快带他离开这座屋子，别让他看见爱德华少爷不在下面，先生，贴身男仆回答说。,0.3457,0,1
我怎能跟这个野蛮的偶像崇拜者去一起膜拜他那块木头呢？,那些说话的声音是压抑的，偶尔只能模模糊糊地听出一两个字来，似乎也不像是在谈话，可能只是有人在口授或者大声读着什么东西；发出杯盘丁当声的房间听不见一声人语，而捶打声使想起了不知什么时候有人告诉过他，说有些官员偶尔自己也搞些木工、翻砂等等的活儿，为的是要调剂一下连续不断的紧张的脑力劳动。,0.0189,0,0
但这时要是有谁看见那位法官，见到他被打击得垂头丧气的样子，他就不能相信维尔福曾预料到会发生这种事情；的确，他怎么也想不到他的父亲竟会坦白或冒失到把这样的一段历史讲出来。,第三个副官在古钢琴上弹奏维也纳圆舞曲，第四个副官倚着琴跟着曲调唱。,0.1134,0,0
此刻是二十四小时中最甜蜜的时刻——白昼己耗尽了它的烈火，清凉的露水落在喘息的平原和烤灼过的山顶上。,可我以为，您已经全都知道了。,0.0624,0,0
指俄国民粹派因出身贵族，享有坐车赶路的特权。,一个牧羊人看到了，说:来的那几个人抬的是克里索斯托莫的遗体，那个山脚就是克里索斯托莫吩咐埋葬他的地方。,0.0271,0,0
马航失联客机在哪,马航失联客机去哪了,0.9596,1,1
显然，政府问责局必须继续吸引聪明、能干的工作人员，这一点在良好的经济和私营部门竞争的情况下变得越来越困难。,由于经济状况不佳，聪明、能干的员工随时可供GAO使用。,0.364,0,0
